oracle,algorithm,seed,max_call,final_top1,final_top10,final_top100,auc_top10,path
logp,smiles_ga,0,10001,25.853899999999992,25.768939999999994,25.441501999999996,20.508466991816295,oracle_benchmark_results/full/logp/smiles_ga/seed_0/results_smiles_ga_logp_0.yaml
logp,smiles_ga,1,10001,24.658899999999996,24.565440000000002,24.43430299999999,20.893586189996523,oracle_benchmark_results/full/logp/smiles_ga/seed_1/results_smiles_ga_logp_1.yaml
logp,smiles_ga,2,10001,24.968399999999992,24.938179999999996,24.88206699999999,21.007330177097035,oracle_benchmark_results/full/logp/smiles_ga/seed_2/results_smiles_ga_logp_2.yaml
logp,smiles_ga,3,10001,23.1174,23.10757,23.06054,18.754011426972603,oracle_benchmark_results/full/logp/smiles_ga/seed_3/results_smiles_ga_logp_3.yaml
logp,smiles_ga,4,9238,19.2507,19.2507,19.236864,16.428366691076338,oracle_benchmark_results/full/logp/smiles_ga/seed_4/results_smiles_ga_logp_4.yaml
logp,stoned,0,10001,27.356990000000042,27.169710000000045,26.65017860000004,18.20175339896711,oracle_benchmark_results/full/logp/stoned/seed_0/results_stoned_logp_0.yaml
logp,stoned,1,10001,28.747400000000027,28.41766900000003,27.846920600000036,17.82507561322206,oracle_benchmark_results/full/logp/stoned/seed_1/results_stoned_logp_1.yaml
logp,stoned,2,10001,27.790400000000023,27.732390000000027,27.251881300000022,17.400254087212883,oracle_benchmark_results/full/logp/stoned/seed_2/results_stoned_logp_2.yaml
logp,stoned,3,10001,28.437400000000018,28.08607900000002,27.560562700000013,17.098886463205382,oracle_benchmark_results/full/logp/stoned/seed_3/results_stoned_logp_3.yaml
logp,stoned,4,10001,27.829400000000035,27.677440000000036,27.16026230000003,18.261391753781783,oracle_benchmark_results/full/logp/stoned/seed_4/results_stoned_logp_4.yaml
logp,gpbo,0,10001,21.586700000000036,19.672510000000013,17.890456599999997,16.74070482154737,oracle_benchmark_results/full/logp/gpbo/seed_0/results_gp_bo_logp_0.yaml
logp,gpbo,1,10001,27.58202000000004,24.619678000000025,21.852915000000024,19.798252579071875,oracle_benchmark_results/full/logp/gpbo/seed_1/results_gp_bo_logp_1.yaml
logp,gpbo,2,10001,22.237800000000036,20.32219600000002,17.990171999999987,17.12784173205535,oracle_benchmark_results/full/logp/gpbo/seed_2/results_gp_bo_logp_2.yaml
logp,gpbo,3,10001,23.39340000000004,20.254202000000017,18.199403599999997,17.102693711358242,oracle_benchmark_results/full/logp/gpbo/seed_3/results_gp_bo_logp_3.yaml
logp,gpbo,4,10001,20.297700000000013,19.060430000000004,16.984638299999975,16.51429407472121,oracle_benchmark_results/full/logp/gpbo/seed_4/results_gp_bo_logp_4.yaml
