tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
full,qed,graph_ga,1,3980,3980,0.9456277546828757,0.9456277546828757,0.9406687029893573,0.9288152474791252,0.9152918075058322,oracle_benchmark_results/full/qed/graph_ga/seed_1/results_graph_ga_qed_1.yaml
full,qed,graph_ga,2,4700,4700,0.9448106480478723,0.9448106480478723,0.9424300644627472,0.9302235309692005,0.9183679088631912,oracle_benchmark_results/full/qed/graph_ga/seed_2/results_graph_ga_qed_2.yaml
full,qed,graph_ga,3,4517,4517,0.9428894141196087,0.9428894141196087,0.9402622544384514,0.9249171963901298,0.9128243032568932,oracle_benchmark_results/full/qed/graph_ga/seed_3/results_graph_ga_qed_3.yaml
full,qed,graph_ga,4,4376,4376,0.944246433005371,0.944246433005371,0.9421853077672283,0.9297747491045903,0.9114012779187701,oracle_benchmark_results/full/qed/graph_ga/seed_4/results_graph_ga_qed_4.yaml
full,qed,screening,0,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9227355512385589,oracle_benchmark_results/full/qed/screening/seed_0/results_screening_qed_0.yaml
full,qed,screening,1,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9206930968975378,oracle_benchmark_results/full/qed/screening/seed_1/results_screening_qed_1.yaml
full,qed,screening,2,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9213909458712358,oracle_benchmark_results/full/qed/screening/seed_2/results_screening_qed_2.yaml
full,qed,screening,3,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9205900114163824,oracle_benchmark_results/full/qed/screening/seed_3/results_screening_qed_3.yaml
full,qed,screening,4,1000,1000,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.9047413471822934,0.9222970537349474,oracle_benchmark_results/full/qed/screening/seed_4/results_screening_qed_4.yaml
full,qed,smiles_ga,0,3892,3892,0.9446500995646006,0.9446500995646006,0.9445443067745627,0.9435388431877825,0.9384853508523554,oracle_benchmark_results/full/qed/smiles_ga/seed_0/results_smiles_ga_qed_0.yaml
full,qed,smiles_ga,1,3192,3192,0.9446500995646006,0.9446500995646006,0.9445658713644013,0.9434719316368096,0.9363936527360142,oracle_benchmark_results/full/qed/smiles_ga/seed_1/results_smiles_ga_qed_1.yaml
full,qed,smiles_ga,2,4401,4401,0.9446500995646006,0.9446500995646006,0.9446069703849235,0.9436425051400278,0.9385032985161478,oracle_benchmark_results/full/qed/smiles_ga/seed_2/results_smiles_ga_qed_2.yaml
full,qed,smiles_ga,3,4891,4891,0.9446500995646006,0.9446500995646006,0.9446177526798427,0.9438696957654181,0.9391821360047955,oracle_benchmark_results/full/qed/smiles_ga/seed_3/results_smiles_ga_qed_3.yaml
full,qed,smiles_ga,4,4677,4677,0.9446500995646006,0.9446500995646006,0.9445614952965192,0.9436570941552551,0.9384524400560508,oracle_benchmark_results/full/qed/smiles_ga/seed_4/results_smiles_ga_qed_4.yaml
full,qed,stoned,0,6878,6878,0.9483367652755257,0.9483367652755257,0.947822913971188,0.9450432723958444,0.9441162818435872,oracle_benchmark_results/full/qed/stoned/seed_0/results_stoned_qed_0.yaml
full,qed,stoned,1,4650,4650,0.9483367652755257,0.9483367652755257,0.947471244142784,0.9432353369671815,0.9424215753740584,oracle_benchmark_results/full/qed/stoned/seed_1/results_stoned_qed_1.yaml
full,qed,stoned,2,7209,7209,0.9483879966394275,0.9483879966394275,0.9483184704408864,0.9459455202002575,0.9452991708965753,oracle_benchmark_results/full/qed/stoned/seed_2/results_stoned_qed_2.yaml
