tier,oracle,algorithm,top_k,n_seeds,threshold,call_to_threshold,final_score,reached
full,qed,screening,1,5,0.9,22,0.944051792348404,True
full,qed,screening,1,5,0.93,96,0.944051792348404,True
full,qed,screening,1,5,0.94,519,0.944051792348404,True
full,qed,screening,1,5,0.945,,0.944051792348404,False
full,qed,graph_ga,1,5,0.9,447,0.9442779533778692,True
full,qed,graph_ga,1,5,0.93,1158,0.9442779533778692,True
full,qed,graph_ga,1,5,0.94,1785,0.9442779533778692,True
full,qed,graph_ga,1,5,0.945,,0.9442779533778692,False
full,qed,smiles_ga,1,5,0.9,33,0.9446500995646006,True
full,qed,smiles_ga,1,5,0.93,111,0.9446500995646006,True
full,qed,smiles_ga,1,5,0.94,607,0.9446500995646006,True
full,qed,smiles_ga,1,5,0.945,,0.9446500995646006,False
full,qed,stoned,1,5,0.9,5,0.9483538158708018,True
full,qed,stoned,1,5,0.93,98,0.9483538158708018,True
full,qed,stoned,1,5,0.94,240,0.9483538158708018,True
full,qed,stoned,1,5,0.945,460,0.9483538158708018,True
full,qed,gpbo,1,5,0.9,13,0.9479305642453113,True
full,qed,gpbo,1,5,0.93,72,0.9479305642453113,True
full,qed,gpbo,1,5,0.94,127,0.9479305642453113,True
full,qed,gpbo,1,5,0.945,1596,0.9479305642453113,True
full,logp,screening,1,5,5,51,7.994220000000007,True
full,logp,screening,1,5,10,,7.994220000000007,False
full,logp,screening,1,5,15,,7.994220000000007,False
full,logp,screening,1,5,20,,7.994220000000007,False
full,logp,graph_ga,1,5,5,31,18.03695999999999,True
full,logp,graph_ga,1,5,10,774,18.03695999999999,True
full,logp,graph_ga,1,5,15,4603,18.03695999999999,True
full,logp,graph_ga,1,5,20,,18.03695999999999,False
full,logp,smiles_ga,1,5,5,31,23.569859999999995,True
full,logp,smiles_ga,1,5,10,645,23.569859999999995,True
full,logp,smiles_ga,1,5,15,1609,23.569859999999995,True
full,logp,smiles_ga,1,5,20,3311,23.569859999999995,True
full,logp,stoned,1,5,5,17,28.032318000000032,True
full,logp,stoned,1,5,10,1266,28.032318000000032,True
full,logp,stoned,1,5,15,3471,28.032318000000032,True
full,logp,stoned,1,5,20,5746,28.032318000000032,True
full,logp,gpbo,1,5,5,40,23.019524000000036,True
full,logp,gpbo,1,5,10,341,23.019524000000036,True
full,logp,gpbo,1,5,15,1521,23.019524000000036,True
full,logp,gpbo,1,5,20,5067,23.019524000000036,True
full,sascore,screening,1,5,8.0,6,8.66793054365497,True
full,sascore,screening,1,5,8.5,395,8.66793054365497,True
full,sascore,screening,1,5,8.9,,8.66793054365497,False
full,sascore,graph_ga,1,5,8.0,8,9.0,True
full,sascore,graph_ga,1,5,8.5,36,9.0,True
full,sascore,graph_ga,1,5,8.9,217,9.0,True
full,sascore,smiles_ga,1,5,8.0,8,8.66793054365497,True
full,sascore,smiles_ga,1,5,8.5,36,8.66793054365497,True
full,sascore,smiles_ga,1,5,8.9,,8.66793054365497,False
full,sascore,stoned,1,5,8.0,22,9.0,True
full,sascore,stoned,1,5,8.5,462,9.0,True
full,sascore,stoned,1,5,8.9,774,9.0,True
full,sascore,gpbo,1,5,8.0,4,9.0,True
full,sascore,gpbo,1,5,8.5,89,9.0,True
full,sascore,gpbo,1,5,8.9,1286,9.0,True
