tier,oracle,algorithm,top_k,n_seeds,threshold,call_to_threshold,final_score,reached
full,qed,screening,10,5,0.9,94,0.9361042180243164,True
full,qed,screening,10,5,0.93,428,0.9361042180243164,True
full,qed,screening,10,5,0.94,,0.9361042180243164,False
full,qed,screening,10,5,0.945,,0.9361042180243164,False
full,qed,graph_ga,10,5,0.9,927,0.9400217392695035,True
full,qed,graph_ga,10,5,0.93,2193,0.9400217392695035,True
full,qed,graph_ga,10,5,0.94,4311,0.9400217392695035,True
full,qed,graph_ga,10,5,0.945,,0.9400217392695035,False
full,qed,smiles_ga,10,5,0.9,129,0.94457927930005,True
full,qed,smiles_ga,10,5,0.93,457,0.94457927930005,True
full,qed,smiles_ga,10,5,0.94,823,0.94457927930005,True
full,qed,smiles_ga,10,5,0.945,,0.94457927930005,False
full,qed,stoned,10,5,0.9,89,0.9480308786134533,True
full,qed,stoned,10,5,0.93,364,0.9480308786134533,True
full,qed,stoned,10,5,0.94,567,0.9480308786134533,True
full,qed,stoned,10,5,0.945,962,0.9480308786134533,True
full,qed,gpbo,10,5,0.9,77,0.9472483947892707,True
full,qed,gpbo,10,5,0.93,185,0.9472483947892707,True
full,qed,gpbo,10,5,0.94,2818,0.9472483947892707,True
full,qed,gpbo,10,5,0.945,5256,0.9472483947892707,True
full,logp,screening,10,5,5,125,5.782607000000003,True
full,logp,screening,10,5,10,,5.782607000000003,False
full,logp,screening,10,5,15,,5.782607000000003,False
full,logp,screening,10,5,20,,5.782607000000003,False
full,logp,graph_ga,10,5,5,160,17.32115839999999,True
full,logp,graph_ga,10,5,10,1036,17.32115839999999,True
full,logp,graph_ga,10,5,15,5874,17.32115839999999,True
full,logp,graph_ga,10,5,20,,17.32115839999999,False
full,logp,smiles_ga,10,5,5,131,23.526165999999996,True
full,logp,smiles_ga,10,5,10,750,23.526165999999996,True
full,logp,smiles_ga,10,5,15,1702,23.526165999999996,True
full,logp,smiles_ga,10,5,20,3388,23.526165999999996,True
full,logp,stoned,10,5,5,218,27.81665760000003,True
full,logp,stoned,10,5,10,1455,27.81665760000003,True
full,logp,stoned,10,5,15,3620,27.81665760000003,True
full,logp,stoned,10,5,20,5887,27.81665760000003,True
full,logp,gpbo,10,5,5,310,20.785803200000014,True
full,logp,gpbo,10,5,10,357,20.785803200000014,True
full,logp,gpbo,10,5,15,1529,20.785803200000014,True
full,logp,gpbo,10,5,20,8604,20.785803200000014,True
full,sascore,screening,10,5,8.0,66,8.352685526716238,True
full,sascore,screening,10,5,8.5,,8.352685526716238,False
full,sascore,screening,10,5,8.9,,8.352685526716238,False
full,sascore,graph_ga,10,5,8.0,41,9.0,True
full,sascore,graph_ga,10,5,8.5,215,9.0,True
full,sascore,graph_ga,10,5,8.9,532,9.0,True
full,sascore,smiles_ga,10,5,8.0,41,8.55788772690372,True
full,sascore,smiles_ga,10,5,8.5,1760,8.55788772690372,True
full,sascore,smiles_ga,10,5,8.9,,8.55788772690372,False
full,sascore,stoned,10,5,8.0,113,8.883093169639773,True
full,sascore,stoned,10,5,8.5,780,8.883093169639773,True
full,sascore,stoned,10,5,8.9,,8.883093169639773,False
full,sascore,gpbo,10,5,8.0,62,9.0,True
full,sascore,gpbo,10,5,8.5,350,9.0,True
full,sascore,gpbo,10,5,8.9,2734,9.0,True
