tier,oracle,algorithm,n,original_top1,part2_top1,delta_top1,original_top10,part2_top10,delta_top10,original_top100,part2_top100,delta_top100,original_auc_top10,part2_auc_top10,delta_auc_top10
full,logp,gpbo,5,23.019524000000036,23.019524000000036,0.0,20.785803200000014,20.785803200000014,0.0,18.583517099999995,18.583517099999995,0.0,17.456757383750983,17.456757383750983,0.0
full,logp,graph_ga,5,18.03695999999999,18.03695999999999,0.0,17.32115839999999,17.32115839999999,0.0,16.249985639999984,16.249985639999984,0.0,13.794658259629893,13.794658259629893,0.0
full,logp,screening,5,7.994220000000007,7.994220000000007,0.0,5.782607000000003,5.782607000000003,0.0,4.720921800000003,4.720921800000003,0.0,5.3346905481174645,5.3346905481174645,0.0
full,logp,smiles_ga,5,23.569859999999995,23.569859999999995,0.0,23.526165999999996,23.526165999999996,0.0,23.411055199999996,23.411055199999996,0.0,19.51835229539214,19.51835229539214,0.0
full,logp,stoned,5,28.032318000000032,28.032318000000032,0.0,27.81665760000003,27.81665760000003,0.0,27.29396110000003,27.29396110000003,0.0,17.757472263277805,17.757472263277805,0.0
full,qed,gpbo,5,0.9479305642453113,0.9479305642453113,0.0,0.9472483947892707,0.9472483947892707,0.0,0.9436995400828678,0.9436995400828678,0.0,0.9414883636511775,0.9414883636511775,0.0
full,qed,graph_ga,5,0.9442779533778692,0.9442779533778692,0.0,0.9400217392695035,0.9400217392695035,0.0,0.9262846431689541,0.9262846431689541,0.0,0.9125651233134618,0.9125651233134618,0.0
full,qed,screening,5,0.944051792348404,0.944051792348404,0.0,0.9361042180243164,0.9361042180243164,0.0,0.9047413471822934,0.9047413471822934,0.0,0.9215413318317325,0.9215413318317325,0.0
full,qed,smiles_ga,5,0.9446500995646006,0.9446500995646006,0.0,0.94457927930005,0.94457927930005,0.0,0.9436360139770585,0.9436360139770585,0.0,0.9382033756330728,0.9382033756330728,0.0
full,qed,stoned,5,0.9483538158708018,0.9483538158708018,0.0,0.9480308786134533,0.9480308786134533,0.0,0.9449467833324267,0.9449467833324267,0.0,0.9445069660053177,0.9445069660053177,0.0
full,sascore,gpbo,5,9.0,9.0,0.0,9.0,9.0,0.0,8.901680339991568,8.901680339991568,0.0,8.895081956552659,8.895081956552659,0.0
full,sascore,graph_ga,5,9.0,9.0,0.0,9.0,9.0,0.0,8.912657288744079,8.912657288744079,0.0,8.922384465415064,8.922384465415064,0.0
full,sascore,screening,5,8.66793054365497,8.66793054365497,0.0,8.352685526716238,8.352685526716238,0.0,8.042297635281923,8.042297635281923,0.0,8.208954639325182,8.208954639325182,0.0
full,sascore,smiles_ga,5,8.66793054365497,8.66793054365497,0.0,8.55788772690372,8.55788772690372,0.0,8.399870919254756,8.399870919254756,0.0,8.425230736534978,8.425230736534978,0.0
full,sascore,stoned,5,9.0,9.0,0.0,8.883093169639773,8.883093169639773,0.0,8.295537542919268,8.295537542919268,0.0,8.643110981894301,8.643110981894301,0.0
