tier,oracle,algorithm,n,original_top1,part2_top1,delta_top1,original_top10,part2_top10,delta_top10,original_top100,part2_top100,delta_top100,original_auc_top10,part2_auc_top10,delta_auc_top10
medium,hba,gpbo,3,24.333333333333332,24.333333333333332,0.0,21.53333333333333,21.53333333333333,0.0,17.796666666666667,17.796666666666667,0.0,15.89827553398982,15.89827553398982,0.0
medium,hba,graph_ga,3,16.666666666666668,16.666666666666668,0.0,14.633333333333333,14.633333333333333,0.0,11.866666666666667,11.866666666666667,0.0,10.517890442890442,10.517890442890442,0.0
medium,hba,graph_mcts,3,11.0,11.0,0.0,9.966666666666667,9.966666666666667,0.0,7.169999999999999,7.169999999999999,0.0,7.737032671957671,7.737032671957671,0.0
medium,hba,mimosa,3,9.0,9.0,0.0,8.2,8.2,0.0,6.593333333333334,6.593333333333334,0.0,7.521430950002379,7.521430950002379,0.0
medium,hba,moldqn,3,20.0,20.0,0.0,18.566666666666666,18.566666666666666,0.0,14.74,14.74,0.0,15.247299658013944,15.247299658013944,0.0
medium,hba,reinvent,3,13.0,13.0,0.0,10.933333333333332,10.933333333333332,0.0,9.086666666666666,9.086666666666666,0.0,8.442233295804725,8.442233295804725,0.0
medium,hba,reinvent_selfies,3,14.333333333333334,14.333333333333334,0.0,11.733333333333334,11.733333333333334,0.0,9.020000000000001,9.020000000000001,0.0,8.79133908419623,8.79133908419623,0.0
medium,hba,screening,3,9.0,9.0,0.0,8.2,8.2,0.0,6.580000000000001,6.580000000000001,0.0,7.536445238095239,7.536445238095239,0.0
medium,hba,selfies_ga,3,7.666666666666667,7.666666666666667,0.0,7.366666666666667,7.366666666666667,0.0,6.3566666666666665,6.3566666666666665,0.0,5.032382035953464,5.032382035953464,0.0
medium,hba,smiles_ga,3,16.333333333333332,16.333333333333332,0.0,15.533333333333333,15.533333333333333,0.0,14.163333333333334,14.163333333333334,0.0,10.95603563103563,10.95603563103563,0.0
medium,hba,stoned,3,11.333333333333334,11.333333333333334,0.0,11.066666666666668,11.066666666666668,0.0,10.266666666666666,10.266666666666666,0.0,8.662263001548714,8.662263001548714,0.0
medium,hbd,gpbo,3,18.333333333333332,18.333333333333332,0.0,16.266666666666666,16.266666666666666,0.0,13.043333333333331,13.043333333333331,0.0,10.608715094429378,10.608715094429378,0.0
medium,hbd,graph_ga,3,14.0,14.0,0.0,11.666666666666666,11.666666666666666,0.0,8.65,8.65,0.0,6.869355644355644,6.869355644355644,0.0
medium,hbd,graph_mcts,3,9.0,9.0,0.0,7.699999999999999,7.699999999999999,0.0,5.456666666666667,5.456666666666667,0.0,6.6317835978836,6.6317835978836,0.0
medium,hbd,mimosa,3,4.0,4.0,0.0,3.6,3.6,0.0,2.866666666666667,2.866666666666667,0.0,3.171596921596921,3.171596921596921,0.0
medium,hbd,moldqn,3,8.333333333333334,8.333333333333334,0.0,7.433333333333334,7.433333333333334,0.0,5.933333333333334,5.933333333333334,0.0,6.504215625644197,6.504215625644197,0.0
medium,hbd,reinvent,3,7.666666666666667,7.666666666666667,0.0,7.166666666666667,7.166666666666667,0.0,5.623333333333332,5.623333333333332,0.0,4.720498945498945,4.720498945498945,0.0
medium,hbd,reinvent_selfies,3,8.0,8.0,0.0,6.3,6.3,0.0,4.6,4.6,0.0,4.6299817906960765,4.6299817906960765,0.0
medium,hbd,screening,3,4.0,4.0,0.0,3.6,3.6,0.0,2.86,2.86,0.0,3.237136507936508,3.237136507936508,0.0
medium,hbd,selfies_ga,3,6.0,6.0,0.0,5.866666666666667,5.866666666666667,0.0,4.733333333333333,4.733333333333333,0.0,4.029111893397608,4.029111893397608,0.0
medium,hbd,smiles_ga,3,10.666666666666666,10.666666666666666,0.0,10.033333333333333,10.033333333333333,0.0,9.126666666666667,9.126666666666667,0.0,6.7489360667110665,6.7489360667110665,0.0
medium,hbd,stoned,3,6.666666666666667,6.666666666666667,0.0,6.233333333333333,6.233333333333333,0.0,5.446666666666666,5.446666666666666,0.0,4.299272420700993,4.299272420700993,0.0
medium,logp,gpbo,3,15.175639999999975,15.175639999999975,0.0,13.661153333333312,13.661153333333312,0.0,11.270771399999987,11.270771399999987,0.0,8.416346729429296,8.416346729429296,0.0
medium,logp,graph_ga,3,11.415526666666652,11.415526666666652,0.0,10.103189999999993,10.103189999999993,0.0,8.169939133333335,8.169939133333335,0.0,7.273276596229171,7.273276596229171,0.0
medium,logp,graph_mcts,3,5.921300000000005,5.921300000000005,0.0,5.385132333333337,5.385132333333337,0.0,4.136477166666669,4.136477166666669,0.0,4.878766009325402,4.878766009325402,0.0
medium,logp,mimosa,3,7.994220000000008,7.994220000000008,0.0,5.732717333333338,5.732717333333338,0.0,4.6328771000000035,4.6328771000000035,0.0,5.2745213438149205,5.2745213438149205,0.0
medium,logp,moldqn,3,5.188320000000005,5.188320000000005,0.0,4.801179000000003,4.801179000000003,0.0,3.356941333333335,3.356941333333335,0.0,4.698678627031702,4.698678627031702,0.0
medium,logp,reinvent,3,7.578653333333339,7.578653333333339,0.0,6.976458666666672,6.976458666666672,0.0,5.620837166666671,5.620837166666671,0.0,5.543302861297438,5.543302861297438,0.0
medium,logp,reinvent_selfies,3,9.12803,9.12803,0.0,7.624125666666672,7.624125666666672,0.0,6.0036846333333385,6.0036846333333385,0.0,5.625123309016385,5.625123309016385,0.0
medium,logp,screening,3,7.994220000000008,7.994220000000008,0.0,5.782607000000003,5.782607000000003,0.0,4.720921800000003,4.720921800000003,0.0,5.365551193992069,5.365551193992069,0.0
medium,logp,selfies_ga,3,6.5907666666666715,6.5907666666666715,0.0,6.0746266666666715,6.0746266666666715,0.0,4.963322366666671,4.963322366666671,0.0,4.122457283695144,4.122457283695144,0.0
medium,logp,smiles_ga,3,12.307959999999985,12.307959999999985,0.0,11.800905999999985,11.800905999999985,0.0,10.631271166666654,10.631271166666654,0.0,7.635198612879186,7.635198612879186,0.0
medium,logp,stoned,3,9.224266666666665,9.224266666666665,0.0,8.636474666666667,8.636474666666667,0.0,7.782518966666671,7.782518966666671,0.0,6.2377000114805865,6.2377000114805865,0.0
medium,mol_wt,gpbo,3,1052.7913333333331,1050.8587895520002,-1.9325437813329245,912.382033333333,910.4888576732061,-1.8931756601268717,786.8097799999999,785.3174698072479,-1.4923101927520293,744.3136545089828,742.8974343902655,-1.4162201187173196
medium,mol_wt,graph_ga,3,757.6613333333335,756.0134068586967,-1.6479264746367335,679.9332333333333,678.4160933906967,-1.5171399426366179,577.7076333333334,576.7191811690598,-0.9884521642736672,570.2998873753232,569.3963083217641,-0.9035790535591559
medium,mol_wt,graph_mcts,3,462.2706666666668,461.0458520573333,-1.224814609333464,425.6379666666667,424.55526096960006,-1.0827056970666717,351.11650666666674,350.58355674045333,-0.532949926213405,390.3257975013228,389.5033448700455,-0.822452631277315
