tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
medium,mol_wt,stoned,0,1001,1001,757.06884603209,757.06884603209,716.0785482506899,664.3743239689455,545.2084707469206,oracle_benchmark_results_part2_evaluator/medium/mol_wt/stoned/seed_0/results_stoned_mol_wt_0.yaml
medium,mol_wt,stoned,1,1001,1001,736.9951091560001,736.9951091560001,652.9251829216,621.0608805489334,519.320019602219,oracle_benchmark_results_part2_evaluator/medium/mol_wt/stoned/seed_1/results_stoned_mol_wt_1.yaml
medium,mol_wt,stoned,2,1001,1001,728.083270328,728.083270328,676.518094430182,639.0671495847001,535.5807196877607,oracle_benchmark_results_part2_evaluator/medium/mol_wt/stoned/seed_2/results_stoned_mol_wt_2.yaml
medium,qed,gpbo,0,1001,1001,0.9440517923484039,0.9440517923484039,0.9342002842545781,0.8819653705800907,0.9169431323074817,oracle_benchmark_results_part2_evaluator/medium/qed/gpbo/seed_0/results_gp_bo_qed_0.yaml
medium,qed,gpbo,1,1001,1001,0.9440517923484039,0.9440517923484039,0.9342002842545781,0.892213508671239,0.9169431323074817,oracle_benchmark_results_part2_evaluator/medium/qed/gpbo/seed_1/results_gp_bo_qed_1.yaml
medium,qed,gpbo,2,1001,1001,0.9461948821503401,0.9461948821503401,0.9379507711154542,0.8957678414272765,0.9181505409310131,oracle_benchmark_results_part2_evaluator/medium/qed/gpbo/seed_2/results_gp_bo_qed_2.yaml
medium,qed,graph_ga,0,1001,1001,0.9468778747111934,0.9468778747111934,0.9403267947025867,0.9135079723643798,0.9239718605962915,oracle_benchmark_results_part2_evaluator/medium/qed/graph_ga/seed_0/results_graph_ga_qed_0.yaml
medium,qed,graph_ga,1,1001,1001,0.9463105834992671,0.9463105834992671,0.9399073684968784,0.9158347931278078,0.9219675381614716,oracle_benchmark_results_part2_evaluator/medium/qed/graph_ga/seed_1/results_graph_ga_qed_1.yaml
medium,qed,graph_ga,2,1001,1001,0.9431532679834695,0.9431532679834695,0.9397123320163446,0.9123201656458244,0.9225107176244943,oracle_benchmark_results_part2_evaluator/medium/qed/graph_ga/seed_2/results_graph_ga_qed_2.yaml
medium,qed,graph_mcts,0,1000,1000,0.9301469740639712,0.9301469740639712,0.9097281783496974,0.8326413589456846,0.9022033729923284,oracle_benchmark_results_part2_evaluator/medium/qed/graph_mcts/seed_0/results_graph_mcts_qed_0.yaml
medium,qed,graph_mcts,1,1000,1000,0.9301469740639712,0.9301469740639712,0.9097281783496974,0.8296720216678811,0.9022033729923284,oracle_benchmark_results_part2_evaluator/medium/qed/graph_mcts/seed_1/results_graph_mcts_qed_1.yaml
medium,qed,graph_mcts,2,1000,1000,0.9311467661518863,0.9311467661518863,0.9139109218785922,0.8392370561225846,0.9038158206227174,oracle_benchmark_results_part2_evaluator/medium/qed/graph_mcts/seed_2/results_graph_mcts_qed_2.yaml
medium,qed,mimosa,0,1001,1001,0.9440517923484039,0.9440517923484039,0.9350633306872723,0.8996879170946864,0.9146578108747982,oracle_benchmark_results_part2_evaluator/medium/qed/mimosa/seed_0/results_mimosa_qed_0.yaml
medium,qed,mimosa,1,1001,1001,0.9440517923484039,0.9440517923484039,0.9352503001076254,0.8995282565971567,0.9161403098666986,oracle_benchmark_results_part2_evaluator/medium/qed/mimosa/seed_1/results_mimosa_qed_1.yaml
medium,qed,mimosa,2,1001,1001,0.9440517923484039,0.9440517923484039,0.9361042180243164,0.8998852202508862,0.915690473718873,oracle_benchmark_results_part2_evaluator/medium/qed/mimosa/seed_2/results_mimosa_qed_2.yaml
medium,qed,moldqn,0,1001,1001,0.9301469740639712,0.9301469740639712,0.9097281783496974,0.8118336550405914,0.9022108902803977,oracle_benchmark_results_part2_evaluator/medium/qed/moldqn/seed_0/results_moldqn_qed_0.yaml
medium,qed,moldqn,1,1001,1001,0.9301469740639712,0.9301469740639712,0.9097281783496974,0.8118336550405914,0.9022108902803977,oracle_benchmark_results_part2_evaluator/medium/qed/moldqn/seed_1/results_moldqn_qed_1.yaml
medium,qed,moldqn,2,1001,1001,0.9301469740639712,0.9301469740639712,0.9097281783496974,0.8118566538224151,0.9022108902803977,oracle_benchmark_results_part2_evaluator/medium/qed/moldqn/seed_2/results_moldqn_qed_2.yaml
medium,qed,reinvent,0,1001,1001,0.9395320923335592,0.9395320923335592,0.9332930660127895,0.9103444491135115,0.9151807630125901,oracle_benchmark_results_part2_evaluator/medium/qed/reinvent/seed_0/results_reinvent_qed_0.yaml
medium,qed,reinvent,1,1001,1001,0.9460649370608054,0.9460649370608054,0.9355234391546994,0.9084546502147924,0.9141336207917168,oracle_benchmark_results_part2_evaluator/medium/qed/reinvent/seed_1/results_reinvent_qed_1.yaml
medium,qed,reinvent,2,1001,1001,0.9413883341675982,0.9413883341675982,0.9361574730233135,0.9064226559131388,0.9162605785804169,oracle_benchmark_results_part2_evaluator/medium/qed/reinvent/seed_2/results_reinvent_qed_2.yaml
