tier,oracle,algorithm,seed,n_molecules,max_call,best_score,final_top1,final_top10,final_top100,auc_top10,path
small,carcinogens,gpbo,0,101,101,0.9939856585813687,0.9939856585813687,0.9755720275791828,0.8098864136289632,0.9308837138972281,oracle_benchmark_results/small/carcinogens/gpbo/seed_0/results_gp_bo_carcinogens_0.yaml
small,carcinogens,graph_ga,0,101,101,0.9942576564615593,0.9942576564615593,0.9813732310582418,0.8272677945092145,0.9436865749744757,oracle_benchmark_results/small/carcinogens/graph_ga/seed_0/results_graph_ga_carcinogens_0.yaml
small,carcinogens,graph_mcts,0,100,100,0.921409435197711,0.921409435197711,0.8338379800505937,0.5568770897779612,0.7247724962521633,oracle_benchmark_results/small/carcinogens/graph_mcts/seed_0/results_graph_mcts_carcinogens_0.yaml
small,carcinogens,mimosa,0,101,101,0.9942576564615593,0.9942576564615593,0.9881133519916329,0.7973575963216135,0.9556278687471406,oracle_benchmark_results/small/carcinogens/mimosa/seed_0/results_mimosa_carcinogens_0.yaml
small,carcinogens,moldqn,0,101,101,0.9060383103787899,0.9060383103787899,0.842095865122974,0.3775655990140514,0.6934597068459774,oracle_benchmark_results/small/carcinogens/moldqn/seed_0/results_moldqn_carcinogens_0.yaml
small,carcinogens,reinvent,0,101,101,0.9952001088880934,0.9952001088880934,0.9847896121395753,0.7532181186703966,0.9177663407867871,oracle_benchmark_results/small/carcinogens/reinvent/seed_0/results_reinvent_carcinogens_0.yaml
small,carcinogens,reinvent_selfies,0,101,101,0.9877147941384464,0.9877147941384464,0.966647947053425,0.7496979700583033,0.9052010524344868,oracle_benchmark_results/small/carcinogens/reinvent_selfies/seed_0/results_reinvent_selfies_carcinogens_0.yaml
small,carcinogens,screening,0,100,100,0.9971931704378221,0.9971931704378221,0.9815654845657992,0.7621617552652608,0.9206542939930853,oracle_benchmark_results/small/carcinogens/screening/seed_0/results_screening_carcinogens_0.yaml
small,carcinogens,selfies_ga,0,100,100,0.9579030393593712,0.9579030393593712,0.8507516209266033,0.4709283186685934,0.6697877748818023,oracle_benchmark_results/small/carcinogens/selfies_ga/seed_0/results_selfies_ga_carcinogens_0.yaml
small,carcinogens,smiles_ga,0,101,101,0.9890901181730442,0.9890901181730442,0.9801100133114959,0.8377509900608273,0.9438990450793084,oracle_benchmark_results/small/carcinogens/smiles_ga/seed_0/results_smiles_ga_carcinogens_0.yaml
