tier,oracle,algorithm,top_k,n_seeds,threshold,call_to_threshold,final_score,reached
small,clintox,mimosa,10,1,0.8,1,0.9980468157293638,True
small,clintox,mimosa,10,1,0.9,2,0.9980468157293638,True
small,clintox,mimosa,10,1,0.95,14,0.9980468157293638,True
small,clintox,mimosa,10,1,0.99,17,0.9980468157293638,True
small,clintox,moldqn,10,1,0.8,1,0.9940833350806859,True
small,clintox,moldqn,10,1,0.9,1,0.9940833350806859,True
small,clintox,moldqn,10,1,0.95,1,0.9940833350806859,True
small,clintox,moldqn,10,1,0.99,1,0.9940833350806859,True
small,clintox,reinvent,10,1,0.8,1,0.997924232871469,True
small,clintox,reinvent,10,1,0.9,1,0.997924232871469,True
small,clintox,reinvent,10,1,0.95,1,0.997924232871469,True
small,clintox,reinvent,10,1,0.99,33,0.997924232871469,True
small,clintox,reinvent_selfies,10,1,0.8,1,0.9956482757416805,True
small,clintox,reinvent_selfies,10,1,0.9,1,0.9956482757416805,True
small,clintox,reinvent_selfies,10,1,0.95,1,0.9956482757416805,True
small,clintox,reinvent_selfies,10,1,0.99,1,0.9956482757416805,True
small,clintox,screening,10,1,0.8,1,0.9977195748520515,True
small,clintox,screening,10,1,0.9,5,0.9977195748520515,True
small,clintox,screening,10,1,0.95,14,0.9977195748520515,True
small,clintox,screening,10,1,0.99,43,0.9977195748520515,True
small,clintox,selfies_ga,10,1,0.8,1,0.9997504642933697,True
small,clintox,selfies_ga,10,1,0.9,1,0.9997504642933697,True
small,clintox,selfies_ga,10,1,0.95,1,0.9997504642933697,True
small,clintox,selfies_ga,10,1,0.99,1,0.9997504642933697,True
small,clintox,smiles_ga,10,1,0.8,1,0.9971319082233187,True
small,clintox,smiles_ga,10,1,0.9,1,0.9971319082233187,True
small,clintox,smiles_ga,10,1,0.95,1,0.9971319082233187,True
small,clintox,smiles_ga,10,1,0.99,27,0.9971319082233187,True
small,clintox,stoned,10,1,0.8,1,0.9977262987152928,True
small,clintox,stoned,10,1,0.9,1,0.9977262987152928,True
small,clintox,stoned,10,1,0.95,18,0.9977262987152928,True
small,clintox,stoned,10,1,0.99,37,0.9977262987152928,True
small,mutagenicity,gpbo,10,1,0.8,1,0.9752850542869421,True
small,mutagenicity,gpbo,10,1,0.9,25,0.9752850542869421,True
small,mutagenicity,gpbo,10,1,0.95,53,0.9752850542869421,True
small,mutagenicity,gpbo,10,1,0.99,,0.9752850542869421,False
small,mutagenicity,graph_ga,10,1,0.8,18,0.9720458579529077,True
small,mutagenicity,graph_ga,10,1,0.9,25,0.9720458579529077,True
small,mutagenicity,graph_ga,10,1,0.95,45,0.9720458579529077,True
small,mutagenicity,graph_ga,10,1,0.99,,0.9720458579529077,False
small,mutagenicity,graph_mcts,10,1,0.8,1,0.9694769297321907,True
small,mutagenicity,graph_mcts,10,1,0.9,1,0.9694769297321907,True
small,mutagenicity,graph_mcts,10,1,0.95,1,0.9694769297321907,True
small,mutagenicity,graph_mcts,10,1,0.99,1,0.9694769297321907,True
small,mutagenicity,mimosa,10,1,0.8,2,0.9734367587021551,True
small,mutagenicity,mimosa,10,1,0.9,17,0.9734367587021551,True
small,mutagenicity,mimosa,10,1,0.95,59,0.9734367587021551,True
small,mutagenicity,mimosa,10,1,0.99,,0.9734367587021551,False
small,mutagenicity,moldqn,10,1,0.8,4,0.8621266318223209,True
small,mutagenicity,moldqn,10,1,0.9,,0.8621266318223209,False
small,mutagenicity,moldqn,10,1,0.95,,0.8621266318223209,False
small,mutagenicity,moldqn,10,1,0.99,,0.8621266318223209,False
small,mutagenicity,reinvent,10,1,0.8,14,0.9786658266722223,True
small,mutagenicity,reinvent,10,1,0.9,20,0.9786658266722223,True
small,mutagenicity,reinvent,10,1,0.95,30,0.9786658266722223,True
small,mutagenicity,reinvent,10,1,0.99,,0.9786658266722223,False
small,mutagenicity,reinvent_selfies,10,1,0.8,1,0.9671076424399505,True
small,mutagenicity,reinvent_selfies,10,1,0.9,1,0.9671076424399505,True
small,mutagenicity,reinvent_selfies,10,1,0.95,41,0.9671076424399505,True
small,mutagenicity,reinvent_selfies,10,1,0.99,,0.9671076424399505,False
small,mutagenicity,screening,10,1,0.8,1,0.9659192467562392,True
small,mutagenicity,screening,10,1,0.9,1,0.9659192467562392,True
small,mutagenicity,screening,10,1,0.95,46,0.9659192467562392,True
small,mutagenicity,screening,10,1,0.99,,0.9659192467562392,False
small,mutagenicity,selfies_ga,10,1,0.8,1,0.9869794315969924,True
small,mutagenicity,selfies_ga,10,1,0.9,1,0.9869794315969924,True
small,mutagenicity,selfies_ga,10,1,0.95,1,0.9869794315969924,True
small,mutagenicity,selfies_ga,10,1,0.99,,0.9869794315969924,False
small,mutagenicity,smiles_ga,10,1,0.8,18,0.9738820403232238,True
small,mutagenicity,smiles_ga,10,1,0.9,25,0.9738820403232238,True
small,mutagenicity,smiles_ga,10,1,0.95,45,0.9738820403232238,True
small,mutagenicity,smiles_ga,10,1,0.99,,0.9738820403232238,False
small,mutagenicity,stoned,10,1,0.8,17,0.9718427988281473,True
small,mutagenicity,stoned,10,1,0.9,30,0.9718427988281473,True
small,mutagenicity,stoned,10,1,0.95,56,0.9718427988281473,True
small,mutagenicity,stoned,10,1,0.99,,0.9718427988281473,False
small,carcinogens,gpbo,10,1,0.8,3,0.9755720275791827,True
small,carcinogens,gpbo,10,1,0.9,13,0.9755720275791827,True
small,carcinogens,gpbo,10,1,0.95,37,0.9755720275791827,True
small,carcinogens,gpbo,10,1,0.99,,0.9755720275791827,False
small,carcinogens,graph_ga,10,1,0.8,1,0.981373231058242,True
small,carcinogens,graph_ga,10,1,0.9,1,0.981373231058242,True
small,carcinogens,graph_ga,10,1,0.95,23,0.981373231058242,True
small,carcinogens,graph_ga,10,1,0.99,,0.981373231058242,False
small,carcinogens,graph_mcts,10,1,0.8,60,0.8338379800505938,True
small,carcinogens,graph_mcts,10,1,0.9,,0.8338379800505938,False
small,carcinogens,graph_mcts,10,1,0.95,,0.8338379800505938,False
small,carcinogens,graph_mcts,10,1,0.99,,0.8338379800505938,False
small,carcinogens,mimosa,10,1,0.8,2,0.9881133519916323,True
small,carcinogens,mimosa,10,1,0.9,4,0.9881133519916323,True
small,carcinogens,mimosa,10,1,0.95,19,0.9881133519916323,True
small,carcinogens,mimosa,10,1,0.99,,0.9881133519916323,False
small,carcinogens,moldqn,10,1,0.8,95,0.8420958651229737,True
small,carcinogens,moldqn,10,1,0.9,,0.8420958651229737,False
small,carcinogens,moldqn,10,1,0.95,,0.8420958651229737,False
small,carcinogens,moldqn,10,1,0.99,,0.8420958651229737,False
small,carcinogens,reinvent,10,1,0.8,14,0.9847896121395753,True
small,carcinogens,reinvent,10,1,0.9,28,0.9847896121395753,True
small,carcinogens,reinvent,10,1,0.95,38,0.9847896121395753,True
small,carcinogens,reinvent,10,1,0.99,,0.9847896121395753,False
small,carcinogens,reinvent_selfies,10,1,0.8,1,0.9666479470534245,True
small,carcinogens,reinvent_selfies,10,1,0.9,25,0.9666479470534245,True
small,carcinogens,reinvent_selfies,10,1,0.95,41,0.9666479470534245,True
small,carcinogens,reinvent_selfies,10,1,0.99,,0.9666479470534245,False
small,carcinogens,screening,10,1,0.8,1,0.9815654845657991,True
small,carcinogens,screening,10,1,0.9,1,0.9815654845657991,True
small,carcinogens,screening,10,1,0.95,31,0.9815654845657991,True
small,carcinogens,screening,10,1,0.99,,0.9815654845657991,False
small,carcinogens,selfies_ga,10,1,0.8,65,0.8507516209266033,True
small,carcinogens,selfies_ga,10,1,0.9,,0.8507516209266033,False
small,carcinogens,selfies_ga,10,1,0.95,,0.8507516209266033,False
small,carcinogens,selfies_ga,10,1,0.99,,0.8507516209266033,False
small,carcinogens,smiles_ga,10,1,0.8,1,0.9801100133114959,True
small,carcinogens,smiles_ga,10,1,0.9,1,0.9801100133114959,True
small,carcinogens,smiles_ga,10,1,0.95,23,0.9801100133114959,True
small,carcinogens,smiles_ga,10,1,0.99,,0.9801100133114959,False
small,carcinogens,stoned,10,1,0.8,3,0.9814573837118223,True
small,carcinogens,stoned,10,1,0.9,15,0.9814573837118223,True
small,carcinogens,stoned,10,1,0.95,28,0.9814573837118223,True
small,carcinogens,stoned,10,1,0.99,,0.9814573837118223,False
